2021/07/01_17:07:07 | [bonfen] connected (Normal use: 1000W, Linited use: 5000W)
2021/07/01_17:07:07 | Device [bonfen] set mode to [off] ~ using 0W
2021/07/01_17:07:07 | Device [bonfen] change mode to [normal], comsume 1000W
2021/07/01_17:07:07 | System power using: 1000W
2021/07/01_17:07:07 | Device [bonfen] change mode to [off], comsume 0W
2021/07/01_17:07:07 | System power using: 0W
2021/07/01_17:07:07 | [bongden] connected (Normal use: 2000W, Linited use: 1000W)
2021/07/01_17:07:07 | Device [bongden] set mode to [off] ~ using 0W
2021/07/01_17:07:07 | Device [bongden] change mode to [normal], comsume 2000W
2021/07/01_17:07:07 | System power using: 2000W
2021/07/01_17:07:07 | Device [bonfen] change mode to [normal], comsume 1000W
2021/07/01_17:07:07 | System power using: 3000W
