2021/07/02_15:33:38 | [bongden] connected (Normal use: 4000W, Linited use: 2000W)
2021/07/02_15:33:38 | Device [bongden] set mode to [off] ~ using 0W
2021/07/02_15:33:38 | [bongden2] connected (Normal use: 600W, Linited use: 300W)
2021/07/02_15:33:38 | Device [bongden2] set mode to [off] ~ using 0W
2021/07/02_15:33:38 | Device [bongden] change mode to [normal], comsume 4000W
2021/07/02_15:33:38 | System power using: 4000W
2021/07/02_15:33:38 | Device [bongden2] change mode to [normal], comsume 600W
2021/07/02_15:33:38 | WARNING!!! Over threshold, power comsuming: 4600W
2021/07/02_15:33:38 | System power using: 4600W
2021/07/02_15:33:38 | Device [bongden2] change mode to [limited], comsume 300W
2021/07/02_15:33:38 | System power using: 4300W
2021/07/02_15:33:38 | WARNING!!! Over threshold, power comsuming: 4600W
2021/07/02_15:33:38 | Device [bongden2] change mode to [normal], comsume 600W
2021/07/02_15:33:38 | System power using: 4600W
2021/07/02_15:33:38 | [bonfden3] connected (Normal use: 1000W, Linited use: 100W)
2021/07/02_15:33:38 | Device [bonfden3] set mode to [off] ~ using 0W
2021/07/02_15:33:38 | Device [bonfden3] change mode to [normal], comsume 1000W
2021/07/02_15:33:38 | DANGER!!! System overload, power comsuming: 5600W
