2021/07/02_16:45:41 | [bong1] connected (Normal use: 4000W, Linited use: 2000W)
2021/07/02_16:45:41 | Device [bong1] set mode to [off] ~ using 0W
2021/07/02_16:45:41 | [bong2] connected (Normal use: 2000W, Linited use: 1000W)
2021/07/02_16:45:41 | Device [bong2] set mode to [off] ~ using 0W
2021/07/02_16:45:41 | Device [bong2] change mode to [normal], comsume 2000W
2021/07/02_16:45:41 | System power using: 2000W
2021/07/02_16:45:41 | Device [bong1] disconnected
2021/07/02_16:45:41 | System power using: 2000W
2021/07/02_16:45:41 | [bong1] connected (Normal use: 4000W, Linited use: 200W)
2021/07/02_16:45:41 | Device [bong1] set mode to [off] ~ using 0W
2021/07/02_16:45:41 | Device [bong1] change mode to [normal], comsume 4000W
2021/07/02_16:45:41 | WARNING!!! Over threshold, power comsuming: 6000W
2021/07/02_16:45:41 | DANGER!!! System overload, power comsuming: 6000W
